Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected
11693545,12/09/2024 08:16:23,38,Desktop or Laptop,Chrome 130.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,39,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,3,91,43,84,1,8,10,39,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Yes,39
11693585,12/09/2024 08:21:22,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,9,36,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Conservative,,94,0,0,10,91,8,50,80,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Yes,36
11693590,12/09/2024 08:21:53,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,32,male,,Self-employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Green,,5,20,30,85,0,4,50,39,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,32
11693627,12/09/2024 08:27:29,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,1,36,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,27,89,23,35,2,8,50,20,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Yes,36
11693677,12/09/2024 08:39:20,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,6,37,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Reform UK,,0,0,1,0,75,8,50,20,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Yes,37
11693710,12/09/2024 08:42:21,38,Amazon KFRAWI,Silk 126.6.2,Start P,Yes,1,1,1,1,1,Yes,1,0,31,female,,Self-employed,,Secondary school up to 16 years (GCSEs or equivalent),,Right,Reform UK,,37,0,30,50,100,8,50,20,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Yes,31
11693724,12/09/2024 08:43:56,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,2,32,female,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Slightly left,Labour,,5,85,80,20,0,8,10,39,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Yes,32
11693785,12/09/2024 08:56:22,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,2,36,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Reform UK,,15,0,20,15,70,8,5,39,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Yes,36
11694123,12/09/2024 09:49:38,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,2,38,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Labour,,10,69,58,33,0,8,10,39,Disagree,Agree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Yes,38
11694370,12/09/2024 10:45:04,38,Desktop or Laptop,Firefox 130.0,Start M,Yes,1,1,1,1,1,Yes,1,0,29,male,,Unemployed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,16,71,42,60,0,4,50,20,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Yes,29
