subj_idx,commission_errors,commission_errors_r,omission_errors,go_accuracy,nogo_accuracy,overall_accuracy,rt_go_avg,rt_nogo_avg
1,20,36,9,95.96412556053812,64.91228070175438,89.64285714285715,351.09205607694736,307.98500000259594
2,28,28,12,94.61883408071749,50.877192982456144,85.71428571428571,330.52701421783246,300.3071428569775
3,20,36,1,99.55156950672645,64.91228070175438,92.5,326.7414414414347,282.57500000001016
4,35,21,1,99.54545454545455,38.59649122807017,87.00361010830325,263.52337899543346,233.8948571428638
5,12,44,2,99.10313901345292,78.94736842105263,95,324.6212669182684,274.06666661103736
6,10,46,117,47.2972972972973,82.45614035087719,54.48028673835126,305.6285714285775,257.6000000000058
7,9,47,7,96.8609865470852,84.21052631578947,94.28571428571428,350.500462962637,325.73333333310114
8,9,47,1,99.54954954954955,84.21052631578947,96.415770609319,323.8796380089704,307.8222222228861
9,18,38,5,97.75784753363229,68.42105263157895,91.78571428571428,330.80669724770075,308.87999999999255
10,15,41,1,99.55156950672645,73.68421052631578,94.28571428571428,319.91378378378397,303.4653333333311
11,43,13,14,93.48837209302326,23.214285714285715,78.96678966789668,315.6432835819207,285.1860465114641
12,29,27,19,91.1214953271028,48.214285714285715,82.22222222222221,329.2210256524261,297.4310344952958
13,7,49,4,98.18181818181819,87.5,96.01449275362319,320.3527777887871,256.55714286310206
14,28,28,2,99.09909909909909,50.877192982456144,89.24731182795699,296.4290908908859,261.5821428452197
15,15,41,2,99.10313901345292,73.68421052631578,93.92857142857143,337.0986428687995,321.2066669591217
16,10,46,3,98.65470852017937,82.45614035087719,95.35714285714286,339.1204545708132,300.51000003337975
17,8,48,1,99.55156950672645,85.96491228070175,96.78571428571429,337.18198198205175,289.1124999999993
18,19,37,1,99.54954954954955,66.66666666666666,92.831541218638,321.1733031667251,297.2894736835312
19,10,46,1,99.55156950672645,82.45614035087719,96.07142857142857,334.89774774881937,296.0899999833171
20,6,50,6,97.2972972972973,89.47368421052632,95.6989247311828,337.21527778238607,311.7833333353289
21,15,41,8,96.3963963963964,72.72727272727273,91.69675090252709,324.9130841114076,280.4733333325867
22,28,28,12,94.4954128440367,49.09090909090909,85.34798534798534,345.57378640848,290.97857142924994
23,16,40,10,95.51569506726457,71.9298245614035,90.71428571428571,350.972769955065,310.7249999880796
24,26,30,13,94.06392694063926,52.72727272727272,85.76642335766424,347.11165046263784,330.66153843906824
25,8,48,4,98.20627802690582,85.96491228070175,95.71428571428572,350.4450867229358,318.63587494636886
26,19,37,3,98.64864864864865,66.66666666666666,92.1146953405018,315.43515983857975,251.21052632959848
