Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected,subj_idx,ideology_num,edu_group,age_group,questionnaire_attention_check,crt_correct,dog02_r,dog04_r,dog05_r,dog07_r,dog08_r,dog09_r,dogmatism,affective_polarisation,m_climate,m_immigration,m_punishment,m_teaculture,m_brain,m_gender,m_discrimination,m_adoption,m_selfenhancement,m_cats,s_climate,s_immigration,s_punishment,s_teaculture,s_brain,s_gender,s_discrimination,s_adoption,s_selfenhancement,s_cats,ideo_group,ideo_strength,ideo_m_climate,ideo_m_adoption,ideo_m_punishment,ideo_m_gender,ideo_m_discrimination,ideo_m_immigration,ideo_m_teaculture,ideo_m_brain,ideo_m_cats,self_m_enhancement
11693545,12/09/2024 08:16:23,38,Desktop or Laptop,Chrome 130.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,39,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,3,91,43,84,1,8,10,39,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,2,5,1,5,4,2,4,4,5,1,2,Yes,39,252,2,ISCED 3-4,Above 32,passed,2,1,1,2,2,2,1,17,38.312400081435776,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Higher,2,2,1,,,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11693585,12/09/2024 08:21:22,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,9,36,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Conservative,,94,0,0,10,91,8,50,80,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,2,4,2,4,4,2,4,4,4,2,3,Yes,36,1,6,ISCED 3-4,Above 32,passed,0,2,2,2,2,2,2,23,43.84518217546827,Neutral,Neutral,Higher,Higher,Neutral,Higher,Neutral,Lower,Lower,Lower,,,1,1,,1,,1,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
11693590,12/09/2024 08:21:53,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,0,32,male,,Self-employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Green,,5,20,30,85,0,4,50,39,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,2,5,1,5,5,2,5,5,5,1,2,Yes,32,382,2,ISCED 5-8,Above 32,passed,2,1,1,1,1,1,1,14,30.430248109405877,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,1,2,2,2,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11693627,12/09/2024 08:27:29,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,1,36,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,27,89,23,35,2,8,50,20,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,2,5,2,4,4,2,4,5,5,2,2,Yes,36,253,2,ISCED 5-8,Above 32,passed,0,1,2,2,2,1,1,19,29.026884090442778,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Lower,2,2,1,,,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11693677,12/09/2024 08:39:20,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,6,37,female,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Reform UK,,0,0,1,0,75,8,50,20,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,2,3,1,5,5,1,5,5,5,2,3,Yes,37,2,6,ISCED 3-4,Above 32,passed,0,3,1,1,1,1,1,17,29.90250825599752,Neutral,Higher,Lower,Higher,Higher,Higher,Neutral,Lower,Lower,Lower,,2,1,2,1,1,,1,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
11693710,12/09/2024 08:42:21,38,Amazon KFRAWI,Silk 126.6.2,Start P,Yes,1,1,1,1,1,Yes,1,0,31,female,,Self-employed,,Secondary school up to 16 years (GCSEs or equivalent),,Right,Reform UK,,37,0,30,50,100,8,50,20,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,2,4,2,4,4,2,3,5,4,2,2,Yes,31,255,6,ISCED 0-2,25-31,passed,0,2,2,2,3,1,2,22,32.71452276894774,Higher,Higher,Higher,Higher,Neutral,Higher,Higher,Neutral,Neutral,Lower,2,2,1,2,,2,2,,,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
11693724,12/09/2024 08:43:56,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,2,32,female,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Slightly left,Labour,,5,85,80,20,0,8,10,39,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,4,4,2,4,4,2,4,3,4,2,3,Yes,32,3,3,ISCED 5-8,Above 32,passed,2,2,2,2,2,3,2,26,36.959437225152655,Higher,Neutral,Neutral,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,,,1,2,1,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11693785,12/09/2024 08:56:22,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,2,36,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Reform UK,,15,0,20,15,70,8,5,39,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,4,4,4,4,4,4,3,2,4,4,5,Yes,36,254,6,ISCED 3-4,Above 32,passed,1,2,2,2,3,4,2,36,23.958297101421877,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Higher,Higher,Higher,1,2,1,1,2,1,1,2,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
11694123,12/09/2024 09:49:38,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,2,38,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Labour,,10,69,58,33,0,8,10,39,Disagree,Agree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly disagree,2,4,2,5,5,2,4,5,5,1,4,Yes,38,256,3,ISCED 3-4,Above 32,passed,2,2,1,1,2,1,1,19,26.58571044753177,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Higher,Neutral,1,1,1,1,,2,1,2,1,,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
11694370,12/09/2024 10:45:04,38,Desktop or Laptop,Firefox 130.0,Start M,Yes,1,1,1,1,1,Yes,1,0,29,male,,Unemployed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,16,71,42,60,0,4,50,20,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,2,4,2,5,4,1,4,4,4,1,2,Yes,29,4,2,ISCED 5-8,25-31,passed,1,2,1,2,2,2,2,19,26.52093512680124,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,2,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
