subj_idx,Participant Private ID,age_corrected,age_group,gender,worksit,education,edu_group,ideology,ideology_num,partisanship,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,questionnaire_attention_check,attention_start,attention_end,crt_correct,dogmatism,affective_polarisation,m_climate,m_immigration,m_punishment,m_teaculture,m_brain,m_gender,m_discrimination,m_adoption,m_selfenhancement,m_cats,s_climate,s_immigration,s_punishment,s_teaculture,s_brain,s_gender,s_discrimination,s_adoption,s_selfenhancement,s_cats,ideo_group,ideo_strength,ideo_m_climate,ideo_m_adoption,ideo_m_punishment,ideo_m_gender,ideo_m_discrimination,ideo_m_immigration,ideo_m_teaculture,ideo_m_brain,ideo_m_cats,self_m_enhancement
252,11693545,39,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Labour,3,91,43,84,1,passed,Yes,Yes,2,17,38.312400081435776,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Higher,2,2,1,,,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
1,11693585,36,Above 32,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Conservative,94,0,0,10,91,passed,Yes,Yes,0,23,43.84518217546827,Neutral,Neutral,Higher,Higher,Neutral,Higher,Neutral,Lower,Lower,Lower,,,1,1,,1,,1,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
382,11693590,32,Above 32,male,Self-employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,5,20,30,85,0,passed,Yes,Yes,2,14,30.430248109405877,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,2,2,1,2,2,2,2,1,2,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
253,11693627,36,Above 32,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Labour,27,89,23,35,2,passed,Yes,Yes,0,19,29.026884090442778,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Lower,2,2,1,,,2,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
2,11693677,37,Above 32,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Reform UK,0,0,1,0,75,passed,Yes,Yes,0,17,29.90250825599752,Neutral,Higher,Lower,Higher,Higher,Higher,Neutral,Lower,Lower,Lower,,2,1,2,1,1,,1,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
255,11693710,31,25-31,female,Self-employed,Secondary school up to 16 years (GCSEs or equivalent),ISCED 0-2,Right,6,Reform UK,37,0,30,50,100,passed,Yes,Yes,0,22,32.71452276894774,Higher,Higher,Higher,Higher,Neutral,Higher,Higher,Neutral,Neutral,Lower,2,2,1,2,,2,2,,,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
3,11693724,32,Above 32,female,Employed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Slightly left,3,Labour,5,85,80,20,0,passed,Yes,Yes,2,26,36.959437225152655,Higher,Neutral,Neutral,Higher,Higher,Higher,Lower,Lower,Higher,Lower,2,,,1,2,1,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
254,11693785,36,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Right,6,Reform UK,15,0,20,15,70,passed,Yes,Yes,1,36,23.958297101421877,Lower,Higher,Higher,Higher,Lower,Lower,Higher,Higher,Higher,Higher,1,2,1,1,2,1,1,2,1,1,Right,2,Lower,Higher,Higher,Lower,Higher,Higher,Higher,Higher,Higher,Higher
256,11694123,38,Above 32,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,10,69,58,33,0,passed,Yes,Yes,2,19,26.58571044753177,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Higher,Neutral,1,1,1,1,,2,1,2,1,,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
4,11694370,29,25-31,male,Unemployed,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",ISCED 5-8,Left,2,Labour,16,71,42,60,0,passed,Yes,Yes,1,19,26.52093512680124,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,2,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
5,11694381,25,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,58,71,43,52,5,passed,Yes,Yes,3,26,22.33741256278354,Higher,Higher,Lower,Higher,Higher,Neutral,Lower,Higher,Higher,Higher,1,1,1,1,1,,1,1,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
259,11694382,38,Above 32,other,__other,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,Green,0,5,39,73,0,passed,Yes,Yes,3,16,28.765256821380895,Higher,Lower,Neutral,Neutral,Higher,Higher,Lower,Lower,Neutral,Higher,1,2,,,2,2,2,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
258,11694388,23,18-24,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Moderate,4,Conservative,84,26,1,66,57,passed,Yes,Yes,3,19,29.620263334413487,Higher,Higher,Neutral,Higher,Lower,Higher,Higher,Lower,Higher,Neutral,2,2,,2,1,2,2,2,1,,Moderate,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Higher
6,11694389,30,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Extremely left,1,Green,0,60,36,90,0,passed,Yes,Yes,2,26,34.86201371120148,Higher,Lower,Lower,Neutral,Neutral,Higher,Lower,Lower,Lower,Lower,2,2,1,,,2,2,2,1,1,Left,3,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
10,11694395,27,25-31,male,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Left,2,__other,2,29,75,61,0,passed,Yes,Yes,2,20,30.374989711932415,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Lower,Neutral,Lower,1,1,1,1,1,2,1,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
7,11694397,30,25-31,female,Employed,"Bachelors degree (BA, BSc., BEd., BEng.)",ISCED 5-8,Slightly left,3,Labour,4,69,62,71,2,passed,Yes,Yes,1,19,31.664491153340833,Higher,Higher,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Lower,2,1,1,2,1,2,1,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
260,11694398,18,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,14,34,71,80,0,passed,Yes,Yes,0,22,31.217943558152577,Higher,Lower,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Lower,1,1,1,2,1,1,2,2,1,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
262,11694401,21,18-24,male,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Liberal Democrat,15,50,70,60,2,passed,Yes,Yes,2,23,26.333248945012464,Higher,Lower,Lower,Higher,Higher,Higher,Lower,Higher,Neutral,Higher,2,1,1,2,1,2,1,1,,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
9,11694403,20,18-24,male,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Left,2,Green,15,65,50,70,0,passed,Yes,Yes,3,21,27.748873851023216,Higher,Lower,Lower,Higher,Neutral,Higher,Lower,Lower,Neutral,Lower,2,2,1,1,,2,2,2,,1,Left,2,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
261,11694407,20,18-24,female,At university,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,40,70,41,50,10,passed,Yes,Yes,1,26,19.374209661299737,Higher,Neutral,Higher,Higher,Higher,Higher,Lower,Lower,Lower,Higher,2,,2,2,2,2,2,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
46,11694410,26,25-31,female,Employed,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",ISCED 3-4,Slightly left,3,Labour,24,77,76,71,2,passed,Yes,Yes,2,19,31.06766808114185,Higher,Neutral,Higher,Neutral,Lower,Lower,Lower,Lower,Lower,Higher,1,,1,,1,1,2,2,1,1,Left,1,Higher,Lower,Lower,Higher,Lower,Lower,Lower,Lower,Lower,Higher
